n,n_and,zx,pp,zx_time,pp_time
3,1,4,7.0,0.26666784286499023,1.0099618434906006
3,1,4,7.0,0.004378795623779297,1.008687973022461
3,1,4,7.0,0.0043070316314697266,1.0088529586791992
3,1,4,7.0,0.004212141036987305,1.008324146270752
3,1,4,7.0,0.004320859909057617,1.0088999271392822
3,1,4,7.0,0.00431513786315918,1.0106287002563477
3,1,4,7.0,0.004318952560424805,1.010704755783081
3,1,4,7.0,0.004269123077392578,1.0106282234191895
3,1,4,7.0,0.004349946975708008,1.0088129043579102
3,1,4,7.0,0.004251003265380859,1.010282039642334
3,2,7,7.0,0.01276397705078125,1.0060627460479736
3,2,7,7.0,0.01166391372680664,1.0130999088287354
3,2,7,7.0,0.013822793960571289,1.0113928318023682
3,2,7,7.0,0.012673139572143555,1.0065217018127441
3,2,7,7.0,0.012659311294555664,1.0124671459197998
3,2,7,7.0,0.012791156768798828,1.011228322982788
3,2,7,7.0,0.01360177993774414,1.0115411281585693
3,2,7,7.0,0.013847112655639648,1.0064260959625244
3,2,7,7.0,0.011580944061279297,1.0134289264678955
3,2,7,7.0,0.013753175735473633,1.0062038898468018
4,2,7,7.0,0.011761188507080078,1.0239169597625732
4,2,7,7.0,0.00984811782836914,1.019097089767456
4,2,7,7.0,0.010246038436889648,1.0212202072143555
4,2,7,7.0,0.010139942169189453,1.0220370292663574
4,2,7,7.0,0.009543895721435547,1.0254039764404297
4,2,7,7.0,0.011561393737792969,1.019157886505127
4,2,7,7.0,0.009540796279907227,1.0224158763885498
4,2,7,7.0,0.011692047119140625,1.0187780857086182
4,3,10,11.0,0.019649028778076172,1.030174970626831
4,3,8,7.0,0.019351720809936523,1.0210809707641602
4,3,12,7.0,0.02298712730407715,1.019989013671875
4,3,8,7.0,0.02524113655090332,1.0208828449249268
4,3,12,11.0,0.027241945266723633,1.0272579193115234
4,3,10,11.0,0.029719114303588867,1.0237019062042236
4,3,12,7.0,0.024780988693237305,1.0214440822601318
4,3,12,11.0,0.024843931198120117,1.0241239070892334
4,3,12,11.0,0.01919102668762207,1.0273559093475342
4,3,12,11.0,0.027884960174560547,1.030876874923706
4,4,9,7.0,0.04012703895568848,1.0417611598968506
4,4,9,11.0,0.044757843017578125,1.0318028926849365
4,4,11,12.0,0.04078793525695801,1.0199129581451416
4,4,13,11.0,0.03825998306274414,1.0201880931854248
4,4,9,7.0,0.0373532772064209,1.0253000259399414
4,5,14,7.0,0.07183003425598145,1.0226879119873047
4,5,14,7.0,0.07909512519836426,1.0397207736968994
4,5,14,7.0,0.07166814804077148,1.0419142246246338
4,5,14,7.0,0.07758831977844238,1.0647070407867432
4,5,14,7.0,0.0764009952545166,1.0373601913452148
4,5,14,7.0,0.07722616195678711,1.0233938694000244
4,5,14,7.0,0.08020591735839844,1.0593390464782715
4,5,14,7.0,0.07480478286743164,1.0299861431121826
4,5,14,7.0,0.0762169361114502,1.0435452461242676
4,5,14,7.0,0.07120203971862793,1.022535800933838
